"","o_0","o_1","o_2","o_3","o_4","o_5","o_6","o_7","o_8","o_9","o_10","o_11","o_12","o_13","o_14","o_15","o_16","o_17","o_18","o_19","o_20","o_21","o_22","o_23","o_24","o_25","o_26","o_27","o_28","o_29","o_30","o_31","o_32","o_33","o_34","o_35","o_36","o_37","o_38","o_39","o_40","o_41","o_42","o_43","o_44","o_45","o_46","o_47","o_48","o_49","o_50","o_51","o_52","o_53","o_54","o_55","o_56","o_57","o_58","o_59","o_60","o_61","o_62","o_63","o_64","o_65","o_66","o_67","o_68","o_69","o_70","o_71","o_72","o_73","o_74","o_75","o_76","o_77","o_78","o_79","o_80","o_81","o_82","o_83","o_84","o_85","o_86","o_87","o_88","o_89","o_90","o_91","o_92","o_93","o_94","o_95","o_96","o_97","o_98","o_99","o_100","o_101","o_102","o_103","o_104","o_105","o_106","o_107","o_108","o_109","o_110","o_111","o_112","o_113","o_114","o_115","o_116","o_117","o_118","o_119","o_120","o_121","o_122","o_123","o_124","o_125","o_126","o_127","o_128","o_129","o_130","o_131","o_132","o_133","o_134","o_135","o_136","o_137","o_138","o_139","o_140","o_141","o_142","o_143","o_144","o_145","o_146","o_147","o_148","o_149","o_150","o_151","o_152","o_153","o_154","o_155","o_156","o_157","o_158","o_159","o_160","o_161","o_162","o_163","o_164","o_165","o_166","o_167","o_168","o_169","o_170","o_171","o_172","o_173","o_174","o_175","o_176","o_177","o_178","o_179","o_180","o_181","o_182","o_183","o_184","o_185","o_186","o_187","o_188","o_189","o_190","o_191","o_192","o_193","o_194","o_195","o_196","o_197","o_198","o_199","o_200","o_201","o_202","o_203","o_204","o_205","o_206","o_207","o_208","o_209","o_210","o_211","o_212","o_213","o_214","o_215","o_216","o_217","o_218","o_219","o_220","o_221","o_222","o_223","o_224","o_225","o_226","o_227","o_228","o_229","o_230","o_231","o_232","o_233","o_234","o_235","o_236","o_237","o_238","o_239","o_240","o_241","o_242","o_243","o_244","o_245","o_246","o_247","o_248","o_249","o_250","o_251"
"r_10","240","160","240","160","240","240","240","80","320","80","240","160","320","240","80","80","80","80","80","80","80","80","80","80","80","80","80","160","80","240","0","320","80","80","0","80","80","80","80","240","240","240","160","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","240","240","240","0","0","160","80","80","80","80","240","80","0","80","320","320","0","0","80","80","0","80","80","80","80","80","80","80","80","80","80","80","80","0","80","160","80","80","160","80","80","80","80","240","80","80","80","240","320","320","0","80","240","80","160","80","80","80","160","80","80","80","80","80","80","80","80","80","80","80","80","80","160","240","160","320","0","80","80","80","80","240","80","80","80","80","80","80","240","240","240","240","0","240","240","80","240","240","240","240","80","160","80","80","160","160","160","240","240","80","160","160","80","160","160","160","160","160","160","160","160","240","240","240","0","240","0","240","240","240","240","240","240","240","320","160","320","240","80","80","240","240","320","80","160","320","240","240","240","80","80","160","80","80","240","80","80","80","80","160","240","160","160","160","160","160","160","80","0","160","320","240","80","160","80","80","240","160","80","160","320","320","80","160","160","80","80","160","160","80","80","80","80"
"r_11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","0","100","0","100","100","100","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0"
"r_12","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","100","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"r_13","40","40","40","40","40","40","40","40","40","40","40","40","40","40","0","40","0","0","0","0","40","0","40","40","40","40","80","0","0","40","40","40","40","40","0","40","40","40","40","40","40","40","40","0","0","0","40","40","40","0","0","0","40","0","40","0","40","40","40","40","40","40","40","40","40","40","0","40","0","0","40","0","0","40","40","40","0","0","40","0","40","40","40","0","40","0","40","0","0","40","40","40","0","40","0","40","0","0","40","40","40","40","40","0","0","40","40","40","120","40","40","40","0","0","0","0","0","40","40","0","40","40","40","40","0","0","0","0","40","0","0","40","40","40","40","0","0","0","0","40","40","40","0","40","0","0","40","40","0","0","40","40","40","40","0","40","40","40","40","40","40","0","40","0","40","40","40","40","0","40","0","40","40","40","40","0","40","40","40","40","40","0","40","0","40","40","40","40","40","40","40","40","40","120","40","120","40","40","40","40","40","120","0","40","120","40","40","40","40","40","40","40","40","40","0","40","0","40","40","40","40","80","40","40","40","0","40","40","40","40","40","40","40","40","0","40","40","40","40","40","40","0","0","0","0","0","0","0","40","0","40","0"
"r_14","0","0","0","0","0","0","360","120","0","120","300","120","0","120","120","120","120","120","120","120","180","180","120","120","120","120","60","180","120","120","0","0","60","60","60","60","60","60","60","120","120","120","0","120","120","0","60","120","120","180","240","120","120","60","60","120","120","120","120","360","240","360","120","120","120","180","120","120","120","300","180","120","180","0","0","0","120","180","180","120","120","120","60","120","60","120","60","120","180","120","60","120","120","60","120","120","60","240","60","60","60","60","0","120","120","120","240","0","0","0","120","60","120","0","180","120","180","120","120","0","60","60","60","120","120","120","120","180","180","120","120","120","180","120","0","60","180","180","120","60","120","120","120","180","120","60","180","0","0","0","0","60","120","120","0","120","120","120","120","180","120","120","180","120","120","120","120","120","120","180","120","180","120","120","60","120","120","120","120","120","120","120","120","60","120","0","120","120","120","120","120","120","0","0","120","0","0","180","120","0","0","0","0","120","0","120","120","120","180","60","120","120","60","0","120","180","180","120","0","0","120","0","120","120","120","60","120","60","120","0","180","60","120","60","180","120","120","60","60","0","0","180","240","240","120","120","60","60","0","0","180","120"
"r_15","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","100","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"r_16","120","120","120","120","120","120","120","120","120","120","120","120","120","120","0","120","0","0","0","0","120","0","120","120","120","120","240","0","0","120","120","120","120","120","0","120","120","120","120","120","120","120","120","0","0","0","120","120","120","0","0","0","120","0","120","0","120","120","120","120","120","120","120","120","120","120","0","120","0","0","120","0","0","120","120","120","0","0","120","0","120","120","120","0","120","0","120","0","0","120","120","120","0","120","0","120","0","0","120","120","120","120","120","0","0","120","120","120","360","120","120","120","0","0","0","0","0","120","120","0","120","120","120","120","0","0","0","0","120","0","0","120","120","120","120","0","0","0","0","120","120","120","0","120","0","0","120","120","0","0","120","120","120","120","0","120","120","120","120","120","120","0","120","0","120","120","120","120","0","120","0","120","120","120","120","0","120","120","120","120","120","0","120","0","120","120","120","120","120","120","120","120","120","360","120","360","120","120","120","120","120","360","0","120","360","120","120","120","120","120","120","120","120","120","0","120","0","120","120","120","120","240","120","120","120","0","120","120","120","120","120","120","120","120","0","120","120","120","120","120","120","0","0","0","0","0","0","0","120","0","120","0"
"r_17","450","300","450","300","450","450","1350","450","600","450","1200","600","600","750","600","600","600","600","600","600","750","750","600","600","600","600","450","750","600","750","0","600","450","450","150","450","450","450","450","750","750","750","300","600","600","300","450","600","600","750","900","600","600","450","450","600","600","600","600","1350","1050","1350","450","300","600","750","750","600","600","1200","750","300","750","600","600","0","300","900","750","450","600","600","450","600","450","750","450","600","900","600","450","600","450","450","600","450","450","900","450","450","450","450","450","750","750","600","1200","600","600","450","600","600","450","300","900","600","750","600","600","150","450","450","300","450","750","750","600","750","750","450","450","600","900","600","600","150","900","750","750","450","750","600","450","750","600","600","750","450","450","450","450","150","900","900","300","900","900","900","900","600","750","450","600","600","600","600","900","900","750","900","600","600","600","600","450","600","600","600","600","600","750","750","750","150","750","0","750","750","750","750","750","750","450","600","600","600","450","900","450","450","450","600","150","600","600","750","750","750","750","450","600","600","450","450","450","750","900","750","300","450","600","300","600","600","600","450","600","150","600","600","900","450","600","450","900","750","600","450","600","600","600","750","900","900","450","450","900","900","150","150","750","750"
"r_18","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","100","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"r_19","120","120","120","120","120","120","120","120","120","120","120","120","120","120","0","120","0","0","0","0","120","0","120","120","120","120","240","0","0","120","120","120","120","120","0","120","120","120","120","120","120","120","120","0","0","0","120","120","120","0","0","0","120","0","120","0","120","120","120","120","120","120","120","120","120","120","0","120","0","0","120","0","0","120","120","120","0","0","120","0","120","120","120","0","120","0","120","0","0","120","120","120","0","120","0","120","0","0","120","120","120","120","120","0","0","120","120","120","360","120","120","120","0","0","0","0","0","120","120","0","120","120","120","120","0","0","0","0","120","0","0","120","120","120","120","0","0","0","0","120","120","120","0","120","0","0","120","120","0","0","120","120","120","120","0","120","120","120","120","120","120","0","120","0","120","120","120","120","0","120","0","120","120","120","120","0","120","120","120","120","120","0","120","0","120","120","120","120","120","120","120","120","120","360","120","360","120","120","120","120","120","360","0","120","360","120","120","120","120","120","120","120","120","120","0","120","0","120","120","120","120","240","120","120","120","0","120","120","120","120","120","120","120","120","0","120","120","120","120","120","120","0","0","0","0","0","0","0","120","0","120","0"
"r_20","450","300","450","300","450","450","1350","450","600","450","1200","600","600","750","600","600","600","600","600","600","750","750","600","600","600","600","450","750","600","750","0","600","450","450","150","450","450","450","450","750","750","750","300","600","600","300","450","600","600","750","900","600","600","450","450","600","600","600","600","1350","1050","1350","450","300","600","750","750","600","600","1200","750","300","750","600","600","0","300","900","750","450","600","600","450","600","450","750","450","600","900","600","450","600","450","450","600","450","450","900","450","450","450","450","450","750","750","600","1200","600","600","450","600","600","450","300","900","600","750","600","600","150","450","450","300","450","750","750","600","750","750","450","450","600","900","600","600","150","900","750","750","450","750","600","450","750","600","600","750","450","450","450","450","150","900","900","300","900","900","900","900","600","750","450","600","600","600","600","900","900","750","900","600","600","600","600","450","600","600","600","600","600","750","750","750","150","750","0","750","750","750","750","750","750","450","600","600","600","450","900","450","450","450","600","150","600","600","750","750","750","750","450","600","600","450","450","450","750","900","750","300","450","600","300","600","600","600","450","600","150","600","600","900","450","600","450","900","750","600","450","600","600","600","750","900","900","450","450","900","900","150","150","750","750"
"r_21","100","100","100","100","100","100","0","0","100","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","300","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","100","100","0","0","0","0","0","0","0","100","100","0","100","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","300","100","300","100","0","0","100","100","300","0","100","300","0","0","0","0","0","100","0","0","100","0","0","0","0","100","100","100","200","0","100","100","0","0","100","100","100","100","0","100","0","0","100","100","0","0","100","100","0","0","0","0","0","0","0","100","0","0","0"
"r_22","0","100","0","100","0","100","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","300","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","100","0","0","0","0","0","0","0","0","100","100","0","100","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","300","100","300","100","0","0","100","100","300","0","100","300","0","0","0","0","0","100","0","0","100","0","0","0","0","100","100","100","0","0","100","100","0","0","0","100","100","0","0","100","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0"
